[0.028s] Invoking command in '/home/HwHiAiUser/wheeltec_ros2/build/wheeltec_robot_urdf': CMAKE_PREFIX_PATH=/opt/ros/humble _=/usr/bin/env /usr/bin/cmake /home/HwHiAiUser/wheeltec_ros2/src/wheeltec_robot_urdf/wheeltec_robot_urdf -DCMAKE_INSTALL_PREFIX=/home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf
[0.307s] -- The C compiler identification is GNU 11.4.0
[0.586s] -- The CXX compiler identification is GNU 11.4.0
[0.616s] -- Detecting C compiler ABI info
[0.918s] -- Detecting C compiler ABI info - done
[0.961s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.963s] -- Detecting C compile features
[0.966s] -- Detecting C compile features - done
[0.989s] -- Detecting CXX compiler ABI info
[1.339s] -- Detecting CXX compiler ABI info - done
[1.389s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[1.391s] -- Detecting CXX compile features
[1.394s] -- Detecting CXX compile features - done
[1.410s] -- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)
[2.201s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[2.586s] -- Found urdf: 2.6.1 (/opt/ros/humble/share/urdf/cmake)
[3.040s] -- Configuring done
[3.049s] -- Generating done
[3.055s] -- Build files have been written to: /home/HwHiAiUser/wheeltec_ros2/build/wheeltec_robot_urdf
[3.089s] Invoked command in '/home/HwHiAiUser/wheeltec_ros2/build/wheeltec_robot_urdf' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble _=/usr/bin/env /usr/bin/cmake /home/HwHiAiUser/wheeltec_ros2/src/wheeltec_robot_urdf/wheeltec_robot_urdf -DCMAKE_INSTALL_PREFIX=/home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf
[3.090s] Invoking command in '/home/HwHiAiUser/wheeltec_ros2/build/wheeltec_robot_urdf': CMAKE_PREFIX_PATH=/opt/ros/humble _=/usr/bin/env /usr/bin/cmake --build /home/HwHiAiUser/wheeltec_ros2/build/wheeltec_robot_urdf -- -j4 -l4
[3.226s] Invoked command in '/home/HwHiAiUser/wheeltec_ros2/build/wheeltec_robot_urdf' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble _=/usr/bin/env /usr/bin/cmake --build /home/HwHiAiUser/wheeltec_ros2/build/wheeltec_robot_urdf -- -j4 -l4
[3.228s] Invoking command in '/home/HwHiAiUser/wheeltec_ros2/build/wheeltec_robot_urdf': CMAKE_PREFIX_PATH=/opt/ros/humble _=/usr/bin/env /usr/bin/cmake --install /home/HwHiAiUser/wheeltec_ros2/build/wheeltec_robot_urdf
[3.253s] -- Install configuration: ""
[3.253s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes
[3.254s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes
[3.254s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/base_link.STL
[3.296s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/right_wheel2_link.STL
[3.304s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/left_wheel2_link.STL
[3.312s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/laser.STL
[3.315s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/controller_link.STL
[3.370s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/camera_link.STL
[3.374s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/left_wheel1_link.STL
[3.383s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/left_wheel4_link.STL
[3.391s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/left_wheel3_link.STL
[3.401s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/right_wheel1_link.STL
[3.408s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/right_wheel3_link.STL
[3.415s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/top_mec_EightDrive_robot_meshes/right_wheel4_link.STL
[3.424s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes
[3.425s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/base_link.STL
[3.459s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/rf_1_link.STL
[3.469s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/lb_wheel_link.STL
[3.482s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/lf_wheel_link.STL
[3.488s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/rf_2_link.STL
[3.489s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/controller_link.STL
[3.518s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/camera_link.STL
[3.523s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/lf_1_link.STL
[3.534s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/lf_2_link.STL
[3.534s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/rb_wheel_link.STL
[3.544s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/rf_wheel_link.STL
[3.554s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/senior_akm_bs_meshes/laser_link.STL
[3.556s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes
[3.557s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/base_link.STL
[3.572s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/j2_link.STL
[3.575s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/j4_2_link.STL
[3.577s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/j4_6_link.STL
[3.580s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/right5_link.STL
[3.581s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/right_belt_link.STL
[3.583s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/left6_link.STL
[3.584s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/right4_link.STL
[3.586s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/laser.STL
[3.588s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/controller_link.STL
[3.604s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/camera_link.STL
[3.609s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/left3_link.STL
[3.611s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/j4_4_link.STL
[3.613s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/left1_link.STL
[3.617s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/left4_link.STL
[3.618s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/left5_link.STL
[3.622s] -- Installing: /home/HwHiAiUser/wheeltec_ros2/install/wheeltec_robot_urdf/share/wheeltec_robot_urdf/meshes/mini_tank_moveit_four_meshes/right2_link.STL
